Item,Série,Quantité,Prix Achat,Prix Actuel,Gain Théorique
upc,Sulfura Ex de la Team Rocket,1,"170,00","222,67","52,67"
etb,Flammes Fantasmagoriques,1,"55,00","89,16","34,16"
mini_tin,Evolutions Prismatiques (Nymphali),1,"11,99","20,08","8,09"
mini_tin,Evolutions Prismatiques (Voltali),1,"11,99","20,83","8,84"
mini_tin,Evolutions Prismatiques (Pyroli),1,"11,99","18,00","6,01"
mini_tin,Evolutions Prismatiques (Phyllali),1,"11,99","27,31","15,32"
mini_tin,Evolutions Prismatiques (Mentali),1,"11,99","21,33","9,34"
mini_tin,Evolutions Prismatiques (Givrali),1,"11,99","18,16","6,17"
mini_tin,Evolutions Prismatiques (Aquali),1,"11,99","17,50","5,51"
mini_tin,Evolutions Prismatiques (Noctali),1,"11,99","22,73","10,74"
tripack,Evolutions Prismatiques (Phyllali),1,"19,00","31,16","12,16"
tripack,Evolutions Prismatiques (Givrali),1,"19,00","31,50","12,50"
coffret,Dracaufeu Ex Speciale,1,"60,00","39,40","-20,60"
coffret,Zenith Supreme (Pikachu Vmax),2,"127,20","268,66","141,46"
etb,Rivalites Destinees,3,"294,00","506,50","212,50"
mini_tin,151 (Ramoloss),1,"26,40","42,66","16,26"
mini_tin,151 (Elektek),1,"23,20","42,08","18,88"
upc,Evolutions Prismatiques,1,"129,60","199,65","70,05"
tripack,Evolutions Prismatiques (Nymphali),1,"20,80","31,40","10,60"
etb,Heros Transcendants,10,"800,00","1048,35","248,35"
bundle,Evolutions Prismatiques,2,"76,80","123,50","46,70"
coffret,Eaux Florissantes Premium,1,"151,20","229,33","78,13"
etb,Evolutions Prismatiques,1,"76,00","109,50","33,50"
etb,Etincelles Deferlantes,1,"77,60","124,00","46,40"
coffret,Evolutions Prismatiques (Figurine Collection),2,"181,60","306,33","124,73"
mini_tin,Pouvoir de Kanto 2025 (Mew et Psykokwak),1,"16,00","17,50","1,50"
mini_tin,Pouvoir de Kanto 2025 (Mewtwo),1,"16,00","15,17","-0,83"
mini_tin,Pouvoir de Kanto 2025 (Pikachu et Goupix),1,"16,00","17,33","1,33"
mini_tin,Pouvoir de Kanto 2025 (Dracaufeu),1,"16,00","17,96","1,96"
mini_tin,Pouvoir de Kanto 2025 (Dracolosse),1,"16,00","19,16","3,16"
etb,Aventures Ensemble,1,"56,00","93,25","37,25"
